epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,166.514,1.04528,0.60721,0.95637,0.90589,0.8723,0.91356,0.60703,1.08444,0.6575,1.06132,0.000965375,0.000965375,0.000965375
25,173.283,1.0356,0.60405,0.95173,0.88484,0.86288,0.9002,0.60167,1.04878,0.62097,1.04407,0.000953,0.000953,0.000953
26,180.028,1.01768,0.58528,0.94634,0.86656,0.90827,0.91135,0.60555,1.0473,0.63605,1.03339,0.000940625,0.000940625,0.000940625
27,186.695,1.01966,0.58664,0.95335,0.86414,0.86041,0.87893,0.58508,1.0461,0.67503,1.0489,0.00092825,0.00092825,0.00092825
28,193.192,0.97616,0.56786,0.93975,0.82272,0.79841,0.8524,0.58918,1.04309,0.65633,1.04978,0.000915875,0.000915875,0.000915875
29,199.805,1.0037,0.57316,0.9434,0.87652,0.87215,0.93886,0.63615,1.06011,0.68121,1.03034,0.0009035,0.0009035,0.0009035
30,206.523,1.0065,0.56854,0.9358,0.87636,0.88718,0.92068,0.61148,1.06701,0.61944,1.05083,0.000891125,0.000891125,0.000891125
31,213.169,0.97845,0.5552,0.93952,0.81866,0.78839,0.81417,0.56972,1.07032,0.63469,1.05106,0.00087875,0.00087875,0.00087875
32,426.462,0.98929,0.54984,0.93456,0.80022,0.80088,0.85112,0.57061,1.10013,0.67089,1.05178,0.000866375,0.000866375,0.000866375
33,433.005,0.9734,0.5481,0.94255,0.89876,0.89076,0.92843,0.61996,1.03265,0.58042,1.01592,0.000854,0.000854,0.000854
34,439.49,0.98719,0.55397,0.93882,0.8595,0.87403,0.88017,0.58827,1.07146,0.63561,1.06576,0.000841625,0.000841625,0.000841625
35,446.223,0.97618,0.55229,0.93949,0.85741,0.8717,0.90784,0.62661,1.03388,0.6066,1.03705,0.00082925,0.00082925,0.00082925
36,453.186,0.99437,0.55293,0.92929,0.86335,0.84305,0.898,0.58906,1.08252,0.60214,1.04149,0.000816875,0.000816875,0.000816875
37,459.944,0.99701,0.54678,0.93307,0.8641,0.83449,0.89453,0.61921,1.0348,0.57852,1.0418,0.0008045,0.0008045,0.0008045
38,466.792,0.97542,0.53814,0.9298,0.84954,0.91393,0.91496,0.62811,1.01096,0.56483,1.02894,0.000792125,0.000792125,0.000792125
39,473.657,0.98189,0.54281,0.92888,0.92397,0.89578,0.94696,0.65422,1.03575,0.56912,1.04168,0.00077975,0.00077975,0.00077975
40,480.686,0.97426,0.5279,0.9265,0.87284,0.87644,0.89886,0.60532,1.10885,0.62823,1.06839,0.000767375,0.000767375,0.000767375
41,487.433,0.98528,0.52532,0.93434,0.87496,0.87452,0.93903,0.64903,1.02294,0.56975,1.01818,0.000755,0.000755,0.000755
42,494.054,0.93241,0.50413,0.92591,0.88717,0.90775,0.92953,0.6362,1.02722,0.55415,1.04074,0.000742625,0.000742625,0.000742625
43,500.773,0.94303,0.50989,0.93129,0.88792,0.86475,0.91219,0.61937,1.02958,0.56187,1.04159,0.00073025,0.00073025,0.00073025
44,507.45,0.96582,0.52225,0.92583,0.9001,0.84613,0.91422,0.62088,1.0371,0.57133,1.02955,0.000717875,0.000717875,0.000717875
45,514.194,0.96372,0.51632,0.92478,0.90358,0.85826,0.91994,0.62881,1.0538,0.5683,1.03069,0.0007055,0.0007055,0.0007055
46,521.224,0.94262,0.51291,0.91822,0.9401,0.8817,0.94111,0.65007,0.99289,0.5349,1.00834,0.000693125,0.000693125,0.000693125
47,527.902,0.93705,0.5052,0.92031,0.93136,0.88942,0.94515,0.65745,1.00329,0.53367,1.00936,0.00068075,0.00068075,0.00068075
48,534.722,0.95648,0.50873,0.92101,0.89239,0.86552,0.92133,0.64652,1.01821,0.56926,1.03618,0.000668375,0.000668375,0.000668375
49,541.352,0.94556,0.51286,0.92685,0.87412,0.88173,0.91564,0.63567,0.99668,0.56752,1.02116,0.000656,0.000656,0.000656
50,548.003,0.92023,0.49517,0.91674,0.92361,0.85423,0.93622,0.6708,0.98399,0.54045,1.0086,0.000643625,0.000643625,0.000643625
51,554.766,0.92267,0.4945,0.91906,0.95234,0.88218,0.95976,0.65409,1.00327,0.52282,1.02182,0.00063125,0.00063125,0.00063125
52,561.275,0.94323,0.507,0.9274,0.91219,0.87209,0.92485,0.64015,0.9815,0.52079,1.00732,0.000618875,0.000618875,0.000618875
53,567.813,0.9183,0.49475,0.92453,0.90505,0.87297,0.93702,0.65672,0.99147,0.52275,1.00658,0.0006065,0.0006065,0.0006065
54,574.478,0.91651,0.4836,0.91599,0.91367,0.901,0.942,0.6481,1.0163,0.51704,1.02994,0.000594125,0.000594125,0.000594125
55,581.214,0.94117,0.50124,0.9105,0.88683,0.90899,0.9367,0.65421,0.98058,0.51607,0.99988,0.00058175,0.00058175,0.00058175
56,588.192,0.9306,0.49675,0.9108,0.90462,0.82728,0.90421,0.64304,0.97525,0.54585,1.0097,0.000569375,0.000569375,0.000569375
57,594.959,0.90131,0.47971,0.91815,0.91322,0.88525,0.9354,0.64717,1.00248,0.51763,1.01175,0.000557,0.000557,0.000557
58,601.751,0.90239,0.47508,0.91191,0.90927,0.93273,0.95304,0.65869,0.97754,0.49959,1.01045,0.000544625,0.000544625,0.000544625
59,608.465,0.89188,0.474,0.91254,0.9067,0.88947,0.9294,0.65581,0.98907,0.51453,1.02126,0.00053225,0.00053225,0.00053225
60,615.289,0.89839,0.46962,0.9084,0.88738,0.90414,0.9342,0.64466,1.02107,0.53096,1.02381,0.000519875,0.000519875,0.000519875
61,622.144,0.90857,0.47542,0.91242,0.89956,0.90772,0.93859,0.65607,0.9966,0.52378,1.01074,0.0005075,0.0005075,0.0005075
62,628.828,0.89031,0.46436,0.90481,0.89804,0.91583,0.94359,0.65997,0.95693,0.50023,1.00202,0.000495125,0.000495125,0.000495125
63,635.554,0.89467,0.47048,0.9105,0.91441,0.91986,0.95119,0.6661,0.95288,0.48628,1.00242,0.00048275,0.00048275,0.00048275
64,642.169,0.9035,0.47352,0.91214,0.87279,0.90845,0.92009,0.63921,1.01791,0.49195,1.04818,0.000470375,0.000470375,0.000470375
65,648.77,0.90308,0.46866,0.90245,0.92115,0.86277,0.92543,0.65695,0.96049,0.49685,1.01095,0.000458,0.000458,0.000458
66,655.423,0.8759,0.45808,0.90145,0.89945,0.87425,0.91316,0.64572,0.96985,0.50039,1.00851,0.000445625,0.000445625,0.000445625
67,661.908,0.85953,0.44636,0.89951,0.95545,0.87432,0.9306,0.64454,0.96186,0.48152,0.99712,0.00043325,0.00043325,0.00043325
68,668.49,0.88845,0.46061,0.90311,0.87872,0.93402,0.9455,0.66272,0.96105,0.4697,1.00668,0.000420875,0.000420875,0.000420875
69,675.065,0.87993,0.45808,0.90342,0.91907,0.92103,0.95159,0.66666,0.94183,0.46957,0.98854,0.0004085,0.0004085,0.0004085
70,681.732,0.85463,0.4445,0.8978,0.94228,0.86917,0.93244,0.64431,0.96553,0.48721,1.00529,0.000396125,0.000396125,0.000396125
