epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.90526,1.51762,3.00592,1.18474,0.01888,0.88188,0.52172,0.29472,1.56634,3.01371,1.22421,0.000408333,0.000408333,0.000408333
2,16.3819,1.35843,1.30143,1.08413,0.60849,0.50977,0.5822,0.36316,1.43812,1.98109,1.27607,0.000816833,0.000816833,0.000816833
3,23.5494,1.2718,1.03995,1.06303,0.48108,0.7212,0.48887,0.30264,1.38024,2.3294,1.39482,0.00121708,0.00121708,0.00121708
4,30.4809,1.28361,1.0037,1.04611,0.72714,0.52691,0.56502,0.36536,1.29911,1.17877,1.24115,0.00121287,0.00121287,0.00121287
5,37.4278,1.23946,0.93717,1.03559,0.67949,0.79342,0.8293,0.51258,1.24675,1.20806,1.16583,0.0012005,0.0012005,0.0012005
6,44.2445,1.20855,0.89228,1.0125,0.83459,0.74925,0.83631,0.5171,1.19596,0.87407,1.11967,0.00118812,0.00118812,0.00118812
7,51.0482,1.1704,0.84052,1.00844,0.71738,0.79598,0.78289,0.46783,1.25407,1.03145,1.14159,0.00117575,0.00117575,0.00117575
8,57.6849,1.19922,0.83904,1.01777,0.81795,0.80751,0.82576,0.51079,1.25396,0.84526,1.15869,0.00116337,0.00116337,0.00116337
9,64.571,1.15755,0.77242,0.99123,0.83257,0.87111,0.84995,0.53549,1.1587,0.81832,1.10799,0.001151,0.001151,0.001151
10,71.4679,1.13211,0.76634,0.98337,0.83731,0.79944,0.8414,0.55009,1.1631,0.82004,1.10772,0.00113863,0.00113863,0.00113863
11,78.2097,1.13616,0.76124,0.98368,0.84191,0.85042,0.8675,0.54812,1.14075,0.75594,1.0827,0.00112625,0.00112625,0.00112625
12,84.923,1.1267,0.74013,0.97538,0.82667,0.82496,0.84651,0.53519,1.15549,0.80614,1.09684,0.00111388,0.00111388,0.00111388
13,91.8536,1.09559,0.70142,0.97338,0.81176,0.81946,0.87795,0.55585,1.17814,0.87237,1.10031,0.0011015,0.0011015,0.0011015
14,98.8672,1.11334,0.70358,0.98306,0.82648,0.73872,0.78952,0.5039,1.17611,0.8508,1.13384,0.00108913,0.00108913,0.00108913
15,105.551,1.08384,0.67199,0.96966,0.8524,0.88864,0.91167,0.59163,1.09549,0.66831,1.06244,0.00107675,0.00107675,0.00107675
16,112.446,1.04967,0.65903,0.9583,0.86478,0.86949,0.90131,0.60554,1.09017,0.65926,1.04694,0.00106437,0.00106437,0.00106437
17,119.206,1.06079,0.64901,0.96341,0.80077,0.83242,0.86745,0.58184,1.09576,0.71497,1.057,0.001052,0.001052,0.001052
18,126.055,1.06577,0.65269,0.97187,0.82172,0.8147,0.85155,0.57455,1.09455,0.71226,1.06234,0.00103962,0.00103962,0.00103962
19,132.71,1.06155,0.65432,0.96497,0.77942,0.85329,0.86898,0.58907,1.11163,0.76334,1.07129,0.00102725,0.00102725,0.00102725
20,139.499,1.04975,0.63291,0.95873,0.79266,0.80469,0.82297,0.55351,1.07713,0.68715,1.0602,0.00101488,0.00101488,0.00101488
21,146.339,1.05535,0.63024,0.95882,0.88589,0.85325,0.8967,0.59432,1.09117,0.6597,1.06779,0.0010025,0.0010025,0.0010025
22,153.126,1.03079,0.60579,0.95577,0.85435,0.88487,0.90236,0.60684,1.0615,0.66917,1.05758,0.000990125,0.000990125,0.000990125
23,159.881,1.02574,0.60829,0.95598,0.8511,0.87616,0.90898,0.60267,1.0799,0.66128,1.05537,0.00097775,0.00097775,0.00097775
