epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,352.983,0.90801,0.49015,0.94121,0.87947,0.93504,0.94626,0.64897,0.98413,0.5396,1.05021,0.000742625,0.000742625,0.000742625
43,361.327,0.91081,0.48757,0.94348,0.92601,0.88035,0.90142,0.64126,1.00338,0.52442,1.06371,0.00073025,0.00073025,0.00073025
44,369.561,0.9327,0.50361,0.93838,0.889,0.88514,0.94591,0.64279,1.01074,0.52459,1.08334,0.000717875,0.000717875,0.000717875
45,377.928,0.92968,0.49509,0.93611,0.91403,0.89133,0.91719,0.65846,0.99708,0.52905,1.07337,0.0007055,0.0007055,0.0007055
46,386.288,0.91403,0.49309,0.93728,0.87079,0.92223,0.93662,0.65735,0.98229,0.48814,1.06861,0.000693125,0.000693125,0.000693125
47,394.79,0.90222,0.48263,0.9315,0.88851,0.92887,0.92318,0.66285,0.98934,0.49393,1.0627,0.00068075,0.00068075,0.00068075
48,403.703,0.9234,0.49031,0.93386,0.89609,0.88012,0.90411,0.64772,0.97624,0.5253,1.05534,0.000668375,0.000668375,0.000668375
49,412.521,0.91018,0.4845,0.9381,0.89147,0.88115,0.92912,0.67423,0.95278,0.50742,1.04159,0.000656,0.000656,0.000656
50,420.887,0.88575,0.46942,0.92639,0.91893,0.91952,0.94047,0.66544,0.95151,0.5073,1.03347,0.000643625,0.000643625,0.000643625
51,429.38,0.8918,0.47165,0.93364,0.88961,0.82156,0.90704,0.63295,0.96052,0.53212,1.04719,0.00063125,0.00063125,0.00063125
52,437.977,0.90616,0.48043,0.93824,0.91113,0.90626,0.94836,0.67104,0.9849,0.49763,1.04937,0.000618875,0.000618875,0.000618875
53,446.329,0.89218,0.47282,0.93997,0.90484,0.91781,0.9424,0.67854,0.98212,0.49481,1.05205,0.0006065,0.0006065,0.0006065
54,454.974,0.8853,0.46187,0.92785,0.92131,0.9188,0.94879,0.66764,0.99357,0.4856,1.07189,0.000594125,0.000594125,0.000594125
55,463.389,0.91126,0.47578,0.92545,0.92681,0.88852,0.93308,0.67544,0.94986,0.48388,1.04538,0.00058175,0.00058175,0.00058175
