experiment,checkpoint,samples,total_seconds,avg_ms_per_image,fps
yolo11n_remote_512,runs/detect/runs/remote_yolo/yolo11n_remote_512/weights/best.pt,100,1.9482152089476585,19.482152089476585,51.329031587847865
yolo11n_remote_640,runs/detect/runs/remote_yolo/yolo11n_remote_640/weights/best.pt,100,1.9461641311645508,19.461641311645508,51.3831276605441
yolo11s_remote_640,runs/detect/runs/remote_yolo/yolo11s_remote_640/weights/best.pt,100,1.885239377617836,18.85239377617836,53.04366182206458
